the_geom,cartodb_id,segment_id,drive_on_right,oneway,level,tile_id,id,original_edges,best_frc,count_vals,count_vals_density
0103000020E61000000100000026000000C9004978AD5B5940363A166194400840C15E4C41D65B594081072B7F79430840A3B585E5D85B5940AAC9AE099F4308406ED508B7DB5B5940DFA88447B34308407D871B9ADE5B594033608A71B5430840FFD25672E15B5940AFF27572A54308400569BE23E45B59408F0AA7E78343084004F7D393E65B594011A91A1B52430840FECA9BAAE85B594050AABCF61143084042C58853EA5B594019E393F1C54208407B86467EEB5B5940FD1482F77042084029155A1FEC5B5940DF4C864C1642084032CE9230EC5B59407E6C9C6CB9410840974947B1EB5B594032EE75E95D41084050DC5BA6EA5B5940261B5D47074108407F77121AE95B5940AD209CDAB840084071BEA51BE75B59402E5FBCA6754008404634B3BEE45B5940BE27E04040400840184AB6DEBB5B59401F86E080593D08405FDF88B0BB5B5940F1107147563D08406A218BD09D5B594019C56F07493B0840A02134289B5B59406C216EAE243B084057EE8154985B5940CEEF11B6113B0840042F4471955B5940A80FFCD8103B0840A87AE39A925B594002FCAB1F223B084040DD49ED8F5B5940761F2CE0443B0840D939D0828D5B594008CC99C4773B0840E7163B738B5B5940209948D8B83B0840E2CAD0D2895B59405DEAFF9A053C08407A0592B1885B5940B45895195B3C0840EE5F9C1A885B594058F4F10AB63C08404C01BD13885B594048DF64F0123D0840C68A379D885B5940EC4205386E3D0840A57DC3B1895B5940A65DD15FC43D08409C34C0468B5B594066203118123E084032719D4C8D5B59408BD68864543E0840BE7874AF8F5B5940F5619BB8883E0840C9004978AD5B5940363A166194400840,6774,226291106528,0,1,0,2140,6744,0/2140/15038,trunk,1,7.09064684313354e-06
0103000020E610000001000000290000000867E6B4EF5B5940725F3C96A9400840B557898EEF5B594070620AECA6400840F409DDD6BC5B59409D530A612D3D0840185C1FA2A05B59406F671257373B084002EB4AFB9D5B5940E28CA28C123B084028C063289B5B5940C1128C1BFF3A084090B53145985B5940548D13C3FD3A084008EF1C6E955B5940445276900E3B0840056416BF925B5940E62668DE303B0840A9FD8452905B5940E35B6D5B633B084024D941408E5B5940EDDBD216A43B0840C2A9AD9C8C5B5940FA99C493F03B0840CF3EE8778B5B59407B99C6E1453C0840B3E131DD8A5B5940FECE9FB9A03C0840FBA47CD28A5B5940325D9A9DFD3C084070E531588B5B5940E2E4DBFB583D0840D13C2E698C5B594021048451AF3D0840370EF4FA8D5B59400582374DFD3D0840D2BA12FE8F5B5940164DC4EF3F3E0840CB87BE5E925B5940C02B9DA9743E08407891BB9DAE5B5940DAD1AC696B4008401CB33AB2AE5B59409E98D3D36C4008408764F460E15B5940D1AA59C1E54308407EA2AD2DF45B5940B27C49A9384508407FD9E9D2F65B5940E885C8E95D4508407CF9F7A4F95B5940E4ECADD87145084059741888FC5B59403107E0B173450840ACC9E35FFF5B594044033063634508400AF86110025C5940B3B80C8D414508402AA51D7F045C59402C3F587C0F450840D4692894065C594091F79C1DCF440840D840063B085C594058E51FEA82440840D80C7763095C5940EE918ACF2D440840797616020A5C594080E71B13D343084047FECB100A5C5940E86F7B3176430840E8F3068F095C5940AA7F6BBC1A430840DE04C481085C5940A3C6AB37C4420840262C5CF3065C5940CFB865F675420840A2E51EF3045C5940C1F576FA32420840A78EBB94025C59404776DBD6FD4108400867E6B4EF5B5940725F3C96A9400840,1891,58955154144,0,1,0,2140,1757,0/2140/14766,trunk,1,5.47284560301359e-06
0103000020E6100000010000004600000056AD0003C65B59405E1F8923F30B084031822F75AF5B59404A962A75DC0B0840726F9593AC5B5940735F9DABE20B084011A4CCC9A95B59406AC8D6D8FA0B08403F484333A75B59405629FE0E240C0840425A6FE9A45B59408344A4B85C0C0840CC32D402A35B594077D657A8A20C084035092592A15B59402F9C112EF30C08407CFA8CA5A05B59403812A5314B0D084028A52346A05B59408CCF3151A70D084068B59377A05B5940A6FD6902040E0840B0D1F637A15B5940769066B55D0E0840C54AE87FA25B5940E596B2F7B00E08408DD7CD42A45B594099DD3496FA0E08401091536FA65B59409B3FAABC370F0840F76A16F0A85B594072F47A11660F0840629B76ACAB5B59405A07D9CC830F0840F7DB8989AE5B5940A98444CA8F0F084018BECA68C55B59409E3947CAA60F08402ABFAD0BC65B59404CC5D5FCA60F0840837BBA0DD65B5940B43EFBD4A00F08400E9FF9DAF15B5940BD2DD7E2B30F08402F61D564F95B5940A19FCDACD80F0840D1958AFAFF5B59409FB03479F90F0840E179BEC0055C594070B578B7381008406E9F4BF70E5C5940912CA4B49D100840BDC89D21105C594041A3999CB310084063554FAD1E5C59409AD95F42CB1108404A7FC4C2265C5940FF6DB251A61208400386A0D0265C59400C68F283A7120840D72F78DC265C59400EFFED03A912084075D82DBA2B5C5940E19710852A13084046D43A1F2E5C5940C017586F5E130840AFA818C9305C59405DB0A152821308400D27939D335C59409A8EDDCD9413084032EAD280365C5940C96F3A2B951308401A3E6F56395C5940894A226783130840039D85023C5C59407C845D30601308402D04CC6A3E5C5940DB5C5BE12C13084061959377405C59407BA4E172EB120840CD94B114425C5940BEC0A6689E12084019CF4532435C594008D394B848120840FAC756C5435C5940C264A9ADED110840D8B03DC8435C5940102390C7901108409201DE3A435C59404B5E3798351108407490A622425C59403DEAB0A0DF100840D91E5C8A405C59408FE2B82E921008404B68AF813E5C59404D76353C50100840A173E0B0395C5940EAFD6112D00F0840857402BF305C59406C9F32AEDD0E084073B40AD02E5C594071690D56B10E08402E2DAE2E1F5C59402440D3D5840D0840B24CD31D1F5C5940E4923AD6830D08409C67BC0E1F5C5940CB8E8476820D08400C18028D1C5C5940596A0757530D0840DA91B2DE195C594011684EEE2B0D084025A6CA400F5C5940688FF88DB70C084024BC56400F5C594010938E8AB70C08400756EA3F0F5C5940FDBC5E84B70C08408617F340085C59401E8B6EE46A0C084007AF92C2055C594079938C2F570C084015621DE1FD5B59405346A2EE2F0C084065BE52DBFD5B5940856F4BE42F0C08409184B3D5FD5B594009D45BB62F0C08402F11DC54F55B59400E1AFD36060C084012C8986FF35B5940026448F6000C0840955FAF6FD65B5940F9D0EE15ED0B0840D27FF630D65B594032655AB1ED0B08405BE449F2D55B594075331203ED0B084056AD0003C65B59405E1F8923F30B0840,1735,53619999456,0,1,0,2140,1598,"0/2140/14692, 0/2140/15323, 0/2140/13293, 0/2140/14793, 0/2140/13240, 0/2140/13221",primary,1,4.45527298236688e-06
0103000020E6100000010000004D00000085763289B45B59409DD53C8BEC0F084054FBEEAAB65B5940A6B748ABEE0F0840DEA34D0EB75B59400E4525D4ED0F084011589B71B75B5940E7EDE4C8EE0F084043CAB1E3C65B5940305876FEE30F0840926719CFD55B5940CE60A715ED0F0840865AC764DC5B59403451A0DDF50F0840ABFD559ADC5B5940A3CBC918F60F084030E7DEE5F15B5940305F69BF08100840FD137C8EF95B594040FE2E332B10084093E5A57FFF5B5940AB090BB44610084086FDCC410E5C5940E568C0C5EB1008402DDAE37B0F5C5940932759ABFE100840C62B19FE1E5C594032E0B6AC2C120840D6C33950265C5940A5A259AEE41208400DAC6565265C594093692D5EE6120840A242C577265C5940FA5FCE82E8120840F8ED7A552B5C594047818E835F1308400AD402CB2D5C594045B808379013084007270D80305C59407ECCE58BB0130840E9CAF759335C59400CA71244BF130840CEDAB53C365C5940B190C0CEBB130840FE9EE30B395C594063BFF54DA6130840EAD8DDAB3B5C594013893E957F13084054A9D1023E5C5940FF1B8C2149130840AC9DBAF93F5C59407EBB900A051308404A21457D415C5940838A29EEB5120840C59E8C7E425C5940356EA0D65E1208402103AEF3425C5940364BC31C031208406F0129D8425C5940AADCF646A6110840425A0C2D425C5940631189E64B1108406073EBF8405C5940C2169874F71008403EA69D473F5C5940F857E72FAC100840C2C1C9293D5C5940CA92F2FC6C100840EA57F45F385C5940FA2E3CE2F70F08403E129D70305C594015760171300F0840B41739B32F5C594037CB105A210F0840E069B0FF2E5C5940C49B5C77100F084022998F1F1E5C5940ED92B2D7C70D08405B760E791D5C59406DC29AD5BD0D08406AE931DB1C5C594027FBF3D0B10D0840046B1B3C1A5C59401EE2D770890D0840AFCF0EB6185C594009DEBA42750D08402BFAEDD5075C5940B318F782B80C084036189818055C59402AAA7E0FA30C084096C028B9FD5B59404CFB3AEF800C084089A4A7B1FD5B5940CA246DE4800C0840D5695AAAFD5B59407188A9AB800C0840DAF48229F55B5940035C196B5A0C0840DAAEE785F35B594004391307560C084066726282DD5B5940BCAE12BF420C08407ED61ADDD65B5940030039E2390C0840E18B9AB2D65B5940D04CE42F3A0C08402A5D5388D65B5940D036DF8F390C0840D0A5E025C75B594025E0F92F300C08402EFB3DD9C65B5940CB05BCF3300C08401D12978CC65B5940F8FACF36300C0840203E3731B75B59407E9535F13A0C0840B2EF8473B55B59403BD9DF34390C084076D59435B05B5940CDCD90F5330C0840918FFC53AD5B594086666D2F3A0C0840D1D43A8AAA5B59406E59F45F520C0840E887BDF3A75B59404F802C997B0C08407930FAA9A55B5940E9748845B40C0840078473C3A35B5940B1497C37FA0C08406DF0DB52A25B59406296EABE4A0D0840A1AA5D66A15B5940F71096C3A20D08407E530F07A15B5940968D93E3FE0D0840A68D9A38A15B59407EE090945B0E084051F417F9A15B5940A340A946B50E08409CD52141A35B5940E9817087080F084051F81C04A55B5940AF61DC23520F08401DA1B430A75B59406744BE478F0F0840361385B1A95B5940BDB99799BD0F0840FDFEED6DAC5B594067FAB751DB0F084033C8044BAF5B594079F6BE4BE70F084085763289B45B59409DD53C8BEC0F0840,1679,51774505696,0,1,0,2140,1543,"0/2140/14806, 0/2140/13287, 0/2140/12619, 0/2140/13243, 0/2140/13246, 0/2140/13290, 0/2140/13237, 0/2140/15327",primary,1,4.51808736894722e-06
0103000020E61000000100000041000000AAC4B4FA1A5C594041C5ACAFDD1E07406C7310691B5C5940CE481DE0DD1E074029C92AD61B5C5940A73A52F8DF1E07409D02FFA5275C594082C21549F41E0740B7337AD63D5C5940DB12F3075E1F0740E9E29B323E5C594084BBF0985E1F0740D1AE138D3E5C59405B8C26DC601F07405C20E2CE525C59409E0B0D1AA11F074046AA44945E5C5940E96191F6D21F074091BFD33F5F5C594014A4224DD51F0740C66F2163675C5940A0535AA5EB1F0740F7F6A741725C5940C446EE730E200740279022BD7A5C5940B846115C2F2007405FE0571D875C59404DEC64225F200740936A8DDE9D5C594077FDF33EB7200740887C8DC1A05C5940F29CA040B92007405BC57799A35C5940C71CD419A92007405313534AA65C59408CE77469872007402878A6B9A85C59401789F17A5520074022B87DCFAA5C594032FF83391520074065F25477AC5C5940AC00511DC91F07400D74E2A0AD5C594087F51C13741F0740A6F4B640AE5C59404FA0855F191F0740BD13AE50AE5C5940D28EDB7EBC1E0740FCC42AD0AD5C5940289DD702611E074083581DC4AC5C594089E37D6F0A1E074039E4D236AB5C5940047E8718BC1D07403DEC8F37A95C5940616EA700791D0740602FFAD9A65C59401996ECBB431D0740625D5735A45C5940792564561E1D07405724A863A15C59405309F63F0A1D07401525C6A18A5C59407F108A20B21C0740F4B814A18A5C594071B90E20B21C07406C7167A08A5C594017233E1BB21C07403199CD427E5C5940B424DD5E821C074051A480A1755C5940EA30E7E3601C07409A1B9253755C5940DD68FBCF5F1C07405D13A4336A5C59409073D52F3C1C0740FC06CFFE695C594008D4B6923B1C0740B1611117625C5940920DF4DD251C07409F5D366A565C5940B1923569F41B0740CFA7E5EF555C594087D050A4F21B07400FDE66CC415C5940281852C6B21B07404B1C2F482B5C59403ED82478471B07403B2BAD972A5C5940E5475A62461B07409AF1FBE8295C5940B033CA07431B07406D8BBAD61D5C59400892A5442E1B0740324BAC23175C59403717A510161B07403BF59040145C5940A54030CC141B0740A796B169115C594067673EAD251B0740B819FDBA0E5C594047CEC10D481B07407F40D74E0C5C59408516889B7A1B07402E06153D0A5C594025543965BB1B0740D729129A085C59404BD274ED071C074007E5E875075C5940B4834F435D1C0740D380D3DB065C5940A528431FB81C0740F4DFBDD1065C5940C1837103151D0740C33C0B58075C59409D37FE5D701D074053589269085C59409D592DACC61D07406640D0FB095C5940C336ED9C141E0740A5B84FFF0B5C5940887E7731571E0740EC4D41600E5C5940C8CEC8DA8B1E07406D3B3E07115C59401DB9CC92B01E074045A42EDA135C5940569C46F0C31E0740AAC4B4FA1A5C594041C5ACAFDD1E0740,258,3456123616,0,0,0,2140,103,"0/2140/1111, 0/2140/1049, 0/2140/1047, 0/2140/1044, 0/2140/1105",motorway,1,4.54970834459791e-06
0103000020E61000000100000047000000D4595BE0135C594093BFDFB83F130940E4AF9BCC135C5940C550293B4F130940A59E0DAB135C5940096249DB94130940A21CEAC6135C5940A060ADB0F1130940426A6072145C59409A57940E4C140940B5B4D9A6155C5940A6DFF77BA0140940653D7B58175C5940EA4D40BAEB1409408FF99A76195C59402E1930E52A1509409B8363EC1B5C59405B5A568F5B1509405C11A1A11E5C5940EA88F0D97B150940A58EAF7B215C5940587F50878A150940BBB5805E245C59404CC6110787150940E412B02D275C59401A0DA67B71150940B0579ACD295C5940133B02B94A150940BF416D242C5C59400323793C141509401EA2251B2E5C5940F6FE131ED014094010C2719E2F5C5940D6E2F8FB801409400E726F9F305C5940F5D0A9E0291409404E753E14315C5940E5CE1925CE1309400825412E315C5940C8841E2C981309400074311E335C5940FF97A5BAAE110940573AC41E335C5940197EE232AC1109405D5F0C23335C5940E78FAAB9A91109402162655D355C594004F3CBB3420F094028BB5919365C59408D73FF8A950E0940C855461A365C5940208EF66F920E09400936B01F365C5940F705AA678F0E094072F08E7F395C5940E873EFAD1D0B0940C1D4703E3B5C5940F25CBEFD5709094080ECCFDB3C5C59406E5B20E5CC070940151B0CDC3C5C59406AB0D1FCCB0709402CF1A8DD3C5C59400955401ACB0709401E25201C405C594053ADBC3A9904094052815D1C405C594043F26B2E98040940AB19311E405C5940D135812897040940D57D131A415C59405307531496030940B9020CF8415C59407C5439BECF0209402F15BF16425C594055B87FEC720209402157BEA4415C59403B97B122170209408E596BA6405C59408953D0E7BF0109401E248C253F5C5940C029059670010940180EEB303D5C5940E2BCA6392C010940D43CC5DB3A5C59403B3D3C73F5000940EC5E0D3D385C59405D2BA55DCE00094041EA896E355C594034F76379B80009409F89D78B325C59404B35D79DB40009408F7859B12F5C59406FC9F2F0C20009407F3D22FB2C5C59405075CAE5E2000940BA7DDF832A5C5940AF27FC4113010940F087D363285C5940BDC8C4295201094073ABE6AF265C594035AC48329D0109400B88D978255C5940FACD5B79F1010940F43DA0CA245C594078E3DFC14B02094065C321E8235C59405CFCF121160309403958C7E6235C59405C3B4B391A030940C048A5DF235C5940E26B20381E030940A755CEE0225C59402EA4744F2204094052EF49A41F5C5940DC6FA94052070940F3ABFC051E5C594020C5783BDE0809409E3085051E5C5940C332A908E0080940C70F5F021E5C594032EED6CAE108094034C193411C5C594084DB226AA90A09400CE58B411C5C59405E07AF91A90A094096FB46411C5C59405CC848B8A90A094066C840E4185C5940604F0187180E09409560A426185C59404E2BDD35C70E094074514225185C5940515D84DBCB0E09405992641D185C5940C9FDCC66D00E0940AE0A17E1155C594031E6DC85391109402A15EAE3135C59402743B70530130940D4595BE0135C594093BFDFB83F130940,1703,52579812064,0,0,0,2140,1567,"0/2140/14461, 0/2140/14150, 0/2140/14530, 0/2140/14551, 0/2140/14509, 0/2140/14524, 0/2140/13950, 0/2140/14518, 0/2140/14533, 0/2140/14545",primary,2,9.19066309823005e-06
0103000020E61000000100000027000000A59E0DAB135C5940096249DB94130940A21CEAC6135C5940A060ADB0F1130940426A6072145C59409A57940E4C140940B5B4D9A6155C5940A6DFF77BA0140940653D7B58175C5940EA4D40BAEB1409408FF99A76195C59402E1930E52A1509409B8363EC1B5C59405B5A568F5B1509405C11A1A11E5C5940EA88F0D97B150940A58EAF7B215C5940587F50878A150940BBB5805E245C59404CC6110787150940E412B02D275C59401A0DA67B71150940B0579ACD295C5940133B02B94A150940BF416D242C5C59400323793C141509401EA2251B2E5C5940F6FE131ED014094010C2719E2F5C5940D6E2F8FB801409400E726F9F305C5940F5D0A9E0291409404E753E14315C5940E5CE1925CE1309400825412E315C5940C8841E2C981309400074311E335C5940FF97A5BAAE1109403F0A3C33335C59409DDB07DE51110940FB26B1B7325C59407F6F2746F6100940C23450B0315C594083831A789F100940F84E3827305C594060ACDBC95010094091AE842B2E5C5940F69478410D100940BC0CB8D02B5C5940C5F95277D70F0940A9B1FC2D295C59400790987CB10F09408E8F405D265C59400104EDC69C0F0940DB2B367A235C5940641E0E229A0F0940062444A1205C59400954FFA7A90F094071C66DEE1D5C594033C909C0CA0F09400C7C3F7C1B5C59409CA19A24FC0F0940D999C962195C59408CE4C5EF3B100940C9A3B3B6175C594072E2F2AD87100940F7197188165C59408D69FA75DC100940699F9FE3155C59400286C905371109402A15EAE3135C59402743B70530130940D4595BE0135C594093BFDFB83F130940E4AF9BCC135C5940C550293B4F130940A59E0DAB135C5940096249DB94130940,1702,52546257632,0,0,0,2140,1566,"0/2140/14529, 0/2140/14149",primary,1,1.7990377527358e-05
0103000020E61000000100000043000000D0AEC4DE155C594025EBC4063C110940898796D1155C5940265E45E998110940F261E054165C59408A309655F411094095A59663175C5940BBAD4CC84A1209401C1452F3185C594078C0EFEE981209400722B6F41A5C5940DAEDA6C8DB120940FA1608541D5C5940F141C6C310130940F226F1F91F5C5940907D14D735130940BE0E64CC225C594076DED29549130940A4609DAF255C59404272C13D4B130940B7A73487285C59401F0F96BE3A1309408EE233372B5C5940FB839CBA18130940B9972AA52D5C5940F0DA7980E6120940BBF131B92F5C5940C50D50FEA512094088E3D75E315C59400AB5C0AE591209403C4CE885325C5940F7858980041209405D5F0C23335C5940E78FAAB9A91109402162655D355C594004F3CBB3420F094028BB5919365C59408D73FF8A950E0940C855461A365C5940208EF66F920E09400936B01F365C5940F705AA678F0E094072F08E7F395C5940E873EFAD1D0B0940C1D4703E3B5C5940F25CBEFD5709094080ECCFDB3C5C59406E5B20E5CC070940151B0CDC3C5C59406AB0D1FCCB0709402CF1A8DD3C5C59400955401ACB0709401E25201C405C594053ADBC3A9904094052815D1C405C594043F26B2E98040940AB19311E405C5940D135812897040940D57D131A415C59405307531496030940B9020CF8415C59407C5439BECF02094069D770F9415C59405F4A5A87CB020940F37FC500425C594028C99C69C7020940CFCAF060445C5940171A2A0A580009408CF58972445C59405E26AB2AFBFF0840406B9AF3435C594084BC92A59FFF084026F802E9425C594045473EFF48FF08405153025D415C5940F596218CFAFE08406854D05E3F5C59401F970450B7FE0840CA3C08023D5C59401DA55AE081FE0840FBD4E75D3A5C5940FC4CD74A5CFE0840D6C76A8C375C59400A7D3A0148FE0840B8044BA9345C5940FAEE1ACB45FE084067FBEFD0315C5940BD913ABE55FE0840DB2C571F2F5C59405B6BB03D77FE0840F7CD00AF2C5C59400130F0FFA8FE08401411EB972A5C5940A03F741BE9FE0840491BA6EE285C5940DC768D1935FF08408DB789C3275C594047C49F0E8AFF0840118E1422275C59408413DDB6E4FF0840EC3EF8C5245C5940B2FAEFEA4F02094065C321E8235C59405CFCF121160309403958C7E6235C59405C3B4B391A030940C048A5DF235C5940E26B20381E030940A755CEE0225C59402EA4744F2204094052EF49A41F5C5940DC6FA94052070940F3ABFC051E5C594020C5783BDE0809409E3085051E5C5940C332A908E0080940C70F5F021E5C594032EED6CAE108094034C193411C5C594084DB226AA90A09400CE58B411C5C59405E07AF91A90A094096FB46411C5C59405CC848B8A90A094066C840E4185C5940604F0187180E09409560A426185C59404E2BDD35C70E094074514225185C5940515D84DBCB0E09405992641D185C5940C9FDCC66D00E0940D0AEC4DE155C594025EBC4063C110940,1701,52512703200,0,0,0,2140,1565,"0/2140/15502, 0/2140/14547, 0/2140/14544, 0/2140/14532, 0/2140/14517, 0/2140/13949, 0/2140/14523, 0/2140/14508, 0/2140/14550",primary,2,9.10382435936272e-06
0103000020E610000001000000230000008809F116365C5940322DDB725D290840A1E35D26375C59402E192BDCB32908406218BAB6385C5940FAF2ECF4012A084080EEA2B83A5C5940A5CED0BC442A08404F9358183D5C5940D718DAA2792A0840236680BE3F5C5940CE069F9E9E2A084075BA0A91425C594032654844B22A0840443C3374455C594093048DD2B32A0840391C924B485C594047361F3AA32A0840F78333FB4A5C5940AA48431E812A08403F95AA684D5C5940EE3C89CE4E2A08406162157C4F5C59405774E7390E2A084076E20721515C59401836B5DBC1290840EDD95447525C59404A3240A36C290840EAFEACE3525C59405237EDD6112908401E3C0EF0525C5940CD2500F4B42808406BCBFE6B525C5940AE19488C5928084049E4352A495C59401E58782D45240840376FC91A485C594016AE2AC4EE230840B6CA6D8A465C594053C067ABA023084092A78588445C5940A9A07EE35D23084084CAD028425C5940E87E6BFD2823084073C2A9823F5C5940A853980104230840862820B03C5C59408717DD5BF02208403F3EF8CC395C5940534684CDEE220840D0C399F5365C5940983DDD65FF220840C485F845345C5940758CA58121230840275F81D8315C5940F7014FD1532308406F4116C52F5C5940B9C4E46594230840A93F23202E5C5940269B10C4E023084080A4D5F92C5C59402B4785FC35240840ABCB7C5D2C5C594090C4DDC890240840BADC1A512C5C5940E75FD5ABED240840F2AD29D52C5C594062AD9B13492508408809F116365C5940322DDB725D290840,6747,225351582432,0,1,0,2140,6716,0/2140/14745,trunk,1,1.29923035955977e-05
0103000020E6100000010000003C0000007B874548355C594055E8B97414280840AC9BCB5C355C59405EC8F43120280840F3A0EC01395C5940C0C782BE882908405D37966B3A5C59408E89868E2E2A0840CB0A81F33A5C5940F5DC8BE47F2A0840D63DDB343B5C59404472D5F6992A0840922B34653B5C594047A9609DB42A0840975B421A3D5C594019F78B12592B0840A0F7636F3F5C594016EF8560492C08402F1D407B3F5C59408E83D2E44C2C0840315AE6813F5C5940A514F29E502C08403849C641425C59403C7EBBAD5C2D084004EFBEE5475C5940C927A400053008406FD45BE9485C5940C60931FC5B3008408851056F4A5C5940138184EEAA3008408CECC1674C5C59407331F2CEEE300840B6102CC04E5C59404798B50125310840D2E13061515C5940468D9B714B310840563CF330545C594018DD7FA4603108409228CA13575C59405567D5C963310840ADF950ED595C594000CAA9C25431084026A37EA15C5C594031C4D52234310840A788B9155F5C5940DC9F4E2B03310840B02EDD31615C5940248CD0BDC330084095BD27E1625C594007445B4A783008403C360613645C5940942537B723300840AE7FB7BB645C59409CA56E44C92F08408709C0D4645C5940C2C2D46B6C2F0840C691295D645C59402108D3BE102F0840A6A0F59C5E5C5940F351991F5B2C084023F4685E5E5C5940B221D8C0402C0840BFA8B2855B5C5940D0D7D53C2B2B0840CBE78B2E595C5940B978F71E3A2A084076180920595C5940703F6DD1352A08409A00C517595C59403F9EFA42312A0840E841F09B575C5940F2534F56A229084074754B29575C594054906CBB5D290840121FA5F3565C5940D326EBD94129084034886854555C594063B6287A83280840412EA721555C594072B1162E6E280840BD3AAB7E515C59406DCF027606270840847295984A5C594056AAA5E9D023084065D6C392495C59400E27DC087A230840704F1A0B485C59401E2BA13E2B2308403602A610465C5940E5B31592E72208406762DDB6435C5940C337FF9CB122084057BAE014415C594037E131728B22084041A896443E5C5940C8502A8976220840994FAD613B5C594046959FAF73220840EB088A88385C594085509B0183220840360732D5355C5940F4D065E8A3220840EBAE3662335C5940E6BC5020D52208406D36B047315C5940615827C5142308405A9B509A2F5C5940DB09CA6460230840C008986A2E5C59407D113E17B5230840418132C42D5C5940B6BD449B0F240840590A85AD2D5C594013D860766C24084096C26E272E5C5940F1430F17C82408401EDB6526355C59403A814137092808407B874548355C594055E8B97414280840,1889,58888045280,0,1,0,2140,1755,"0/2140/13195, 0/2140/14754, 0/2140/15351, 0/2140/14751, 0/2140/14748",trunk,1,6.34883044018826e-06
