cartodb_id,the_geom,segment_id,hour_23_avg,hour_22_avg,hour_21_avg,hour_20_avg,hour_19_avg,hour_18_avg,hour_17_avg,hour_16_avg,hour_15_avg,hour_14_avg,hour_13_avg,hour_12_avg,hour_11_avg,hour_10_avg,hour_9_avg,hour_8_avg,hour_7_avg,hour_6_avg,hour_5_avg,hour_4_avg,hour_3_avg,hour_2_avg,hour_1_avg,hour_0_avg,right_segment_id,right_drive_on_right,right_oneway,count_vals,count_vals_density
49,0105000020E610000001000000010200000002000000567F8461C06859405D6003E0A7C3094086C954C1A8685940FE3231C0B2C00940,82510365408,,,,,89,106,,,,67,,86,99,70,,,,,68,,,,82,100,82510365408,0,1,4,1538461.53846154
50,0105000020E610000001000000010200000006000000000000E05F685940000000E011B40940000000605E685940000000C08BB309400000002054685940000000A045AF0940000000405068594000000000AAAD09400000002041685940000000C074A809400000008037685940000000E000A50940,82577474272,,,,,,,,,,,,,37,,,,,,,,,,,57,82577474272,0,1,3,1153846.15384615
55,0105000020E610000001000000010200000002000000EE7893DFA26559405EB0A75F1A4D0840AD8905BEA2655940F984AAA0BB4F0840,90664092384,42,49,32,37,33,30,33,36,43,31,35,47,27,33,25,48,42,50,42,,,,,37,90664092384,0,1,1,384615.384615385
57,0105000020E6100000010000000102000000030000005358A9A0A26D5940240B98C0ADBB094012691B7FA26D594083F4B97FD1BA09409B38B9DFA16D59407A8182207AB90940,93683991264,,,12,31,,62,69,,55,42,,54,,39,,,37,52,59,,,,,46,93683991264,0,1,1,384615.384615385
63,0105000020E610000002000000010200000004000000271763601D65594081BE80A0D4A50940369545611765594002FA5480B5A309402B357BA015655940E44BA8E0F0A20940D4D347E00F655940F89A2F40EC9E0940010200000003000000D4D347E00F655940F89A2F40EC9E0940DC12B9E00C655940D43D5700F89C094012A27C410B65594062DF67BF629B0940,97576305376,,,,,,,,,,,,,47,,,,,,,,,,,,97576305376,0,1,1,384615.384615385
81,0105000020E610000003000000010200000003000000D3D9C9E0286559409E2098409DA409400D39B69E216559406AB56E20B0A4094079573D601E65594052EDF4FF81A4094001020000000200000079573D601E65594052EDF4FF81A409406397A8DE1A6559409C230240DBA309400102000000020000006397A8DE1A6559409C230240DBA30940BE16F4DE18655940E5590F8034A30940,119353131744,,,46,,,,,,,35,,61,53,,,,42,,,,,,,54,119353131744,0,1,1,384615.384615385
84,0105000020E610000001000000010200000008000000BF2B82FFAD6D5940B3823A408BF00940BF2B82FFAD6D5940197185A038F20940DC2A8881AE6D5940C6164000C2F20940889CBE9EAF6D59407F96D7DF4CF30940D5EB1681B16D5940D9C57E60D8F30940B0AD9FFEB36D5940ECABC49F55F409408FDE701FB96D5940F42864000BF50940FFCF61BEBC6D5940E4DCE4BF59F50940,123379663584,,,,,,,,54,,,,,,57,,,52,,,,,,,,123379663584,0,1,2,769230.769230769
91,0105000020E6100000020000000102000000020000008D08C6C1A5655940B089B3BF3F5708400B2AAA7EA5655940C6164000C25208400102000000020000000B2AAA7EA5655940C6164000C25208400B2AAA7EA56559405106BB1FBF500840,134989497056,,86,45,37,46,37,28,37,27,41,,71,,,84,39,37,,,,,,56,54,134989497056,0,1,1,384615.384615385
96,0105000020E610000001000000010200000003000000000000C0B5645940000000008081084000000000D4645940000000A07B81084000000060026559400000008083810840,143478768352,,,,89,,70,,64,71,,,61,103,66,70,,,,,,,,,62,143478768352,0,1,2,769230.769230769
97,0105000020E6100000020000000102000000030000009911DE1E84695940582FD0FFBC820840F7B182DF866959407D7555A0168308401EC6A4BF976959402925A1802F8508400102000000020000001EC6A4BF976959402925A1802F850840E736E15E996959401B8FC65F62850840,145592697568,54,,51,41,,23,,40,43,,,35,22,30,,73,,,,,,,,43,145592697568,0,1,9,3461538.46153846
102,0105000020E610000001000000010200000002000000730F09DFFB705940A5C7A5E0DF2E09404F22C2BF087159403E8A84002A2E0940,149216576224,18,40,10,,9,35,,24,21,,38,13,,7,30,40,42,,,,,33,,34,149216576224,0,1,2,769230.769230769
148,0105000020E61000000100000001020000000200000020D5B0DF13655940230FA74024A309403FA7203F1B655940AC836A20E9A50940,300043748064,,,,,,61,,,,,,,,,,,,,,,,,,,300043748064,0,1,1,384615.384615385
