bil,peringkatSekolah,ppd,kodSekolah,namaSekolah,alamatSurat,poskodSurat,bandarSurat,negeri,noTelefon,noFax,formattedAddress,latitude,longitude,neighborhood,establishment,administrativeLevels,administrativeLevelsShort,streetName,city,country,countryCode,zipcode,provider,streetNumber
1105,Rendah,PPD KLANG,BBA0007,SK BATU BELAH,JALAN RANTAU PANJANG,42100,KLANG,SELANGOR,333415475,333415475,"Jalan Rantau Panjang, 42100 Klang, Selangor, Malaysia",3.0638769,101.4103358,,,Selangor,Selangor,Jalan Rantau Panjang,Klang,Malaysia,MY,42100,google,
1100,Rendah,PPD KLANG,BBA0002,SK TELOK GADONG,JALAN YADI,41250,KLANG,SELANGOR,333713193,333701362,"Jalan Yadi, 41250 Klang, Selangor, Malaysia",3.0385748,101.4188357,,,Selangor,Selangor,Jalan Yadi,Klang,Malaysia,MY,41250,google,
1099,Rendah,PPD KLANG,BBA0001,SK KLANG,JALAN DATO'  HAMZAH,41000,KLANG,SELANGOR,333712957,333712957,"Jalan Dato Hamzah, Kawasan 1, 41000 Klang, Selangor, Malaysia",3.0411547,101.4485034,Kawasan 1,,Selangor,Selangor,Jalan Dato Hamzah,Klang,Malaysia,MY,41000,google,
1103,Rendah,PPD KLANG,BBA0005,SK BUKIT NAGA,"BATU 6, KG. BUKIT NAGA",40460,SHAH ALAM,SELANGOR,351616852,351613859,"Lot 2768, Batu 6, Bukit Naga, Jalan Bukit Kemuning, Seksyen 32, Selangor, 40460 Shah Alam, Malaysia",3.0033133,101.4976885,,,,,,Shah Alam,Malaysia,MY,40460,google,
1101,Rendah,PPD KLANG,BBA0003,SK PELABUHAN KELANG,JALAN SEKOLAH,42000,PELABUHAN KLANG,SELANGOR,331686848,331686848,"Jalan Sekolah, Kawasan 13, 42000 Pelabuhan Klang, Selangor, Malaysia",3.0005708,101.4002253,Kawasan 13,,Selangor,Selangor,Jalan Sekolah,Pelabuhan Klang,Malaysia,MY,42000,google,
1113,Rendah,PPD KLANG,BBA0015,SK BUKIT KUDA,JALAN LANDASAN,41300,KLANG,SELANGOR,333416115,333416115,"Jalan Landasan, 41300 Klang, Selangor, Malaysia",3.0470195,101.4623471,,,Selangor,Selangor,Jalan Landasan,Klang,Malaysia,MY,41300,google,
1102,Rendah,PPD KLANG,BBA0004,SK TELOK MENEGON,"BATU 3, JALAN KOTA RAJA",41000,KLANG,SELANGOR,333713852,333701020,"3, Jalan Kota Raja, Kawasan 1, 41000 Klang, Selangor, Malaysia",3.0397323,101.4519493,Kawasan 1,,Selangor,Selangor,Jalan Kota Raja,Klang,Malaysia,MY,41000,google,3
1108,Rendah,PPD KLANG,BBA0010,SK KAPAR,PEJABAT POS KAPAR,42200,KAPAR,SELANGOR,332508335,332508335,"Jkr1092, Jalan Besar, Taman Kapar, 42200 Klang, Selangor, Malaysia",3.1369777,101.3746542,Taman Kapar,,Selangor,Selangor,Jalan Besar,Klang,Malaysia,MY,42200,google,Jkr1092
1106,Rendah,PPD KLANG,BBA0008,SK RANTAU PANJANG,"JALAN GENTING, RANTAU PANJANG",42100,KLANG,SELANGOR,332911582,332911512,"Jalan Genting, Kampung Rantau Panjang, 42100 Klang, Selangor, Malaysia",3.0685246,101.4059627,Kampung Rantau Panjang,,Selangor,Selangor,Jalan Genting,Klang,Malaysia,MY,42100,google,
1109,Rendah,PPD KLANG,BBA0011,SK BUKIT KAPAR,"JALAN SETIA JAYA, KG BUKIT KAPAR",42200,KAPAR,SELANGOR,333922087,333922087,"Jalan Setia Jaya, Kampung Bukit Kapar, 42200 Kapar, Selangor, Malaysia",3.1677585,101.42368,Kampung Bukit Kapar,,Selangor,Selangor,Jalan Setia Jaya,Kapar,Malaysia,MY,42200,google,
1104,Rendah,PPD KLANG,BBA0006,SK JALAN KEBUN,"BATU 7 1/2 JALAN KEBUN, SEKSYEN 30",40460,SHAH ALAM,SELANGOR,351611993,351615004,"No. 20, Lorong Mastarn, Batu 7 1/2, Jalan Kebun, Seksyen 30, Selangor, 40460 Shah Alam, Malaysia",3.03107,101.47868,,,,,,Shah Alam,Malaysia,MY,40460,google,
1110,Rendah,PPD KLANG,BBA0012,SK SUNGAI BINJAI,"BATU 6, PEKAN MERU",41050,KLANG,SELANGOR,333921048,333921048,"Lot 2114, Jalan Meru, Meru, 42200 Klang, Selangor, Malaysia",3.131386,101.4393989,Meru,,Selangor,Selangor,Jalan Meru,Klang,Malaysia,MY,42200,google,Lot 2114
1111,Rendah,PPD KLANG,BBA0013,SK PULAU INDAH,"JALAN SIDANG SULAIMAN, PULAU INDAH",42920,PELABUHAN KLANG,SELANGOR,331012139,331012144,"Jln Sidang Sulaiman, 42000 Pulau Indah, Selangor, Malaysia",2.9222881,101.3278259,,,Selangor,Selangor,Jalan Sidang Sulaiman,Pulau Indah,Malaysia,MY,42000,google,
1107,Rendah,PPD KLANG,BBA0009,SK SEMENTA,"BATU 6, JALAN KAPAR",42100,KLANG,SELANGOR,332911308,332911308,"Jalan Kapar, 42100 Klang, Selangor, Malaysia",3.0812646,101.405936,,,Selangor,Selangor,Jalan Kapar,Klang,Malaysia,MY,42100,google,
