Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax
1,Rendah,PPD BATANG PADANG,ABA0001,SK TOH TANDEWA SAKTI,JALAN KELAB,35000,TAPAH,PERAK,054011341,054010387
2,Rendah,PPD BATANG PADANG,ABA0002,SK PENDITA ZA'BA,JALAN TAPAH ROAD,35400,TAPAH ROAD,PERAK,054182740,054182740
3,Rendah,PPD BATANG PADANG,ABA0003,SK BANIR,BANIR,35400,TAPAH ROAD,PERAK,054270085,054270085
4,Rendah,PPD BATANG PADANG,ABA0004,SK TEMOH,KAMPUNG TEMOH STESEN,35350,TEMOH,PERAK,054690253,054690263
5,Rendah,PPD BATANG PADANG,ABA0005,SK CHENDERIANG,JALAN CHENDERIANG,35300,CHENDERIANG,PERAK,054161461,054161461
6,Rendah,PPD BATANG PADANG,ABA0006,SK BIDOR,JALAN SUNGKAI,35500,BIDOR,PERAK,054340797,054340797
7,Rendah,PPD BATANG PADANG,ABA0007,SK KAMPONG POH,KAMPONG POH,35500,BIDOR,PERAK,054270103,TIADA
8,Rendah,PPD BATANG PADANG,ABA0008,SK BATU TIGA,KAMPUNG BATU TIGA,35350,TEMOH,PERAK,054198507,054190161
9,Rendah,PPD BATANG PADANG,ABA0009,SK BATU MELINTANG,KAMPUNG BATU MELINTANG,35000,TAPAH,PERAK,054270035,054270035
10,Rendah,PPD BATANG PADANG,ABA0010,SK HAJI HASAN,CHANGKAT PETAI,35400,TAPAH ROAD,PERAK,056591069,056591069
11,Rendah,PPD BATANG PADANG,ABA0011,SK SRI KINJANG,CHENDERIANG,35300,CHENDERIANG,PERAK,TIADA,TIADA
12,Rendah,PPD BATANG PADANG,ABA0012,SK KAMPONG PAHANG,JALAN PAHANG,35000,TAPAH,PERAK,054010396,054010396
13,Rendah,PPD BATANG PADANG,ABA0013,SK BATU TUJUH,JALAN PAHANG,35000,TAPAH,PERAK,054010735,054010735
14,Rendah,PPD BATANG PADANG,ABA0014,SK JERAM MENGKUANG,"BATU 5, JERAM MENGKUANG",35500,BIDOR,PERAK,054270118,054270119
15,Rendah,PPD BATANG PADANG,ABA0015,SK SUNGAI LESONG,KG SUNGAI LESONG,31950,MAMBANG DI AWAN,PERAK,054780468,054780468
16,Rendah,PPD BATANG PADANG,ABA0016,SK AYER KUNING,AYER KUNING KAMPAR,31920,KAMPAR,PERAK,054789326,054789326
17,Rendah,PPD BATANG PADANG,ABA0017,SK BATU MASJID,KAMPONG BATU MASJID,35350,TEMOH,PERAK,054270021,TIADA
18,Rendah,PPD BATANG PADANG,ABA0018,SK SUNGKAI,SUNGKAI,35600,SUNGKAI,PERAK,054388434,054388434
19,Rendah,PPD BATANG PADANG,ABA0019,SK PERLOK,JALAN MENDERANG,35600,SUNGKAI,PERAK,054386911,054386911
20,Rendah,PPD BATANG PADANG,ABA0020,SK BIKAM,KG.BIKAM,35600,SUNGKAI,PERAK,054386179,054386179
